segment,locality,current_price_raw,price_1y,price_3y,rating,lat,lon,growth_1y,growth_3y,investment_score,rank,recommendation,volatility
Affordable,Wardha Road,2300.0,4800.0,2300.0,4.3,21.1201698365982,79.0729125899742,-52.08,0.0,-31.247999999999998,31.0,Watch / Hold,36.83
Affordable,Mihan,2400.0,5000.0,2400.0,3.8,21.059992,79.030981,-52.0,0.0,-31.2,30.0,Watch / Hold,36.77
Affordable,Buti Bori,1550.0,2150.0,1550.0,3.9,20.93362,79.00234,-27.91,0.0,-16.746,26.0,Watch / Hold,19.74
Affordable,Jamtha,2300.0,3350.0,2300.0,,21.00712,79.04756,-31.34,0.0,-18.804,27.0,Watch / Hold,22.16
Mid-Segment,Umred Road,4200.0,4200.0,1900.0,4.0,21.0352,79.17125,0.0,121.05,48.42,2.0,Strong Buy,85.6
Mid-Segment,Dighori,4200.0,4200.0,2350.0,3.9,21.11608,79.14074,0.0,78.72,31.488,4.0,Strong Buy,55.66
Mid-Segment,Besa,4200.0,4200.0,3650.0,4.2,21.09083,79.09134,0.0,15.07,6.0280000000000005,13.0,Moderate Buy,10.66
Mid-Segment,Gorewada,4100.0,4100.0,2150.0,3.5,21.189414,79.060571,0.0,90.7,36.28,3.0,Strong Buy,64.13
Mid-Segment,Dabha,3900.0,3900.0,3300.0,3.8,21.168826062347147,79.01308926138796,0.0,18.18,7.272,12.0,Moderate Buy,12.86
Mid-Segment,Beltarodi,4150.0,4150.0,3800.0,3.8,21.075268,79.076984,0.0,9.21,3.6840000000000006,14.0,Watch / Hold,6.51
Mid-Segment,New Manish Nagar,4500.0,4500.0,6000.0,4.0,21.085819,79.06716,0.0,-25.0,-10.0,22.5,Watch / Hold,17.68
Mid-Segment,Manewada,4200.0,4200.0,4350.0,4.2,21.09625,79.10687,0.0,-3.45,-1.3800000000000001,18.0,Watch / Hold,2.44
Mid-Segment,"Somalwada, Wardha Road",4700.0,4700.0,6500.0,4.3,21.09267,79.07439,0.0,-27.69,-11.076,25.0,Watch / Hold,19.58
Mid-Segment,Chinchbhavan,4250.0,4250.0,3150.0,,21.067461,79.058708,0.0,34.92,13.968000000000002,9.0,Moderate Buy,24.69
Mid-Segment,Zingabai Takli,3650.0,3650.0,4000.0,4.1,21.19525,79.06874,0.0,-8.75,-3.5,19.0,Watch / Hold,6.19
Mid-Segment,Katol Road,4600.0,4600.0,1650.0,4.1,21.17113,79.06638,0.0,178.79,71.516,1.0,Strong Buy,126.42
Mid-Segment,Koradi Road,3700.0,3700.0,2500.0,4.2,21.20253,79.07763,0.0,48.0,19.200000000000003,7.0,Strong Buy,33.94
Mid-Segment,Hudkeshwar Road,3550.0,3550.0,2050.0,4.2,21.09716,79.12249,0.0,73.17,29.268,5.0,Strong Buy,51.74
Mid-Segment,Manish Nagar,4500.0,4500.0,6000.0,4.4,21.09115,79.07839,0.0,-25.0,-10.0,22.5,Watch / Hold,17.68
Mid-Segment,Amravati Road,4000.0,4000.0,2500.0,4.3,21.14807,79.05011,0.0,60.0,24.0,6.0,Strong Buy,42.43
Mid-Segment,Shambhu Nagar,3550.0,3550.0,3450.0,4.0,21.201137,79.083954,0.0,2.9,1.16,15.0,Watch / Hold,2.05
Mid-Segment,Kamptee Road,3500.0,3500.0,2450.0,4.1,21.199328973168218,79.13827839260192,0.0,42.86,17.144000000000002,8.0,Strong Buy,30.31
Mid-Segment,Hingna Road,2800.0,2800.0,2100.0,4.1,21.12288,79.03707,0.0,33.33,13.332,10.0,Moderate Buy,23.57
Mid-Segment,Wanadongri,2800.0,2800.0,2200.0,3.6,21.091855556745266,78.97645039096479,0.0,27.27,10.908000000000001,11.0,Moderate Buy,19.28
Mid-Segment,Bhilgaon,3050.0,3050.0,3000.0,3.7,21.18705,79.14639,0.0,1.67,0.668,16.0,Watch / Hold,1.18
Mid-Segment,Pipla,3500.0,4000.0,3500.0,,21.0802,79.12028,-12.5,0.0,-7.5,21.0,Watch / Hold,8.84
Premium,Swawlambi Nagar ,6200.0,6200.0,6400.0,3.8,21.10605,79.04261,0.0,-3.12,-1.2480000000000002,17.0,Watch / Hold,2.21
Premium,Pratap Nagar,6700.0,6700.0,14050.0,4.3,21.11611,79.05038,0.0,-52.31,-20.924000000000003,29.0,Watch / Hold,36.99
Premium,Trimurti Nagar,5500.0,5500.0,7400.0,4.2,21.11124,79.04332,0.0,-25.68,-10.272,24.0,Watch / Hold,18.16
Premium,Narendra Nagar,5150.0,5150.0,10300.0,4.1,21.10462,79.07722,0.0,-50.0,-20.0,28.0,Watch / Hold,35.36
Premium,Ram Nagar,8000.0,8000.0,9800.0,4.2,21.14415,79.05179,0.0,-18.37,-7.348000000000001,20.0,Watch / Hold,12.99
